Organization,Project,ProjectId,RepositoryName,RepositoryId,DefaultBranch,CloneUrl,SshUrl,WebUrl,Size,IsDisabled,IsPrivate,LastUpdate,PrimaryLanguage,FrameworkType,AllFrameworks,DeployableTypes,HasAPI,HasService,HasFrontend,HasDatabase,TechnologyStack,HasDockerfile,HasPipeline,HasKubernetes,DocumentationPriority,AnalyzedDate
github-samples,github-samples,190547141,pets-workshop,596703153,main,https://github.com/github-samples/pets-workshop.git,git@github.com:github-samples/pets-workshop.git,https://github.com/github-samples/pets-workshop,5771,False,False,2026-03-24T11:53:20Z,Python,Unknown,,,False,False,False,False,Python,False,False,False,P3,
github-samples,github-samples,190547141,copilot-hack,698430903,main,https://github.com/github-samples/copilot-hack.git,git@github.com:github-samples/copilot-hack.git,https://github.com/github-samples/copilot-hack,4872,False,False,2026-01-09T23:54:55Z,Jupyter Notebook,Unknown,,,False,False,False,False,Jupyter Notebook,False,False,False,P3,
github-samples,github-samples,190547141,game-of-life-walkthrough,904921963,main,https://github.com/github-samples/game-of-life-walkthrough.git,git@github.com:github-samples/game-of-life-walkthrough.git,https://github.com/github-samples/game-of-life-walkthrough,5136,False,False,2025-11-21T23:07:30Z,Unknown,Unknown,,,False,False,False,False,Unknown,False,False,False,P3,
github-samples,github-samples,190547141,.github,905147531,main,https://github.com/github-samples/.github.git,git@github.com:github-samples/.github.git,https://github.com/github-samples/.github,6,False,False,2025-10-28T00:30:02Z,Unknown,Unknown,,,False,False,False,False,Unknown,False,False,False,P3,
github-samples,github-samples,190547141,planventure,923179499,main,https://github.com/github-samples/planventure.git,git@github.com:github-samples/planventure.git,https://github.com/github-samples/planventure,167,False,False,2025-12-27T08:42:54Z,Dockerfile,Unknown,,,False,False,False,False,Dockerfile,False,False,False,P3,
github-samples,github-samples,190547141,copilot-in-a-box,927631808,main,https://github.com/github-samples/copilot-in-a-box.git,git@github.com:github-samples/copilot-in-a-box.git,https://github.com/github-samples/copilot-in-a-box,28,False,False,2026-03-11T21:55:14Z,Unknown,Unknown,,,False,False,False,False,Unknown,False,False,False,P3,
github-samples,github-samples,190547141,managing-work,973417182,main,https://github.com/github-samples/managing-work.git,git@github.com:github-samples/managing-work.git,https://github.com/github-samples/managing-work,548,False,False,2025-05-28T22:49:45Z,Unknown,Unknown,,,False,False,False,False,Unknown,False,False,False,P3,
github-samples,github-samples,190547141,securing-your-code,973556297,main,https://github.com/github-samples/securing-your-code.git,git@github.com:github-samples/securing-your-code.git,https://github.com/github-samples/securing-your-code,25852,False,False,2025-09-05T16:12:24Z,TypeScript,Unknown,,,False,False,False,False,TypeScript,False,False,False,P3,
github-samples,github-samples,190547141,agents-in-sdlc,974057409,main,https://github.com/github-samples/agents-in-sdlc.git,git@github.com:github-samples/agents-in-sdlc.git,https://github.com/github-samples/agents-in-sdlc,16293,False,False,2026-03-06T14:48:56Z,Python,Unknown,,,False,False,False,False,Python,False,False,False,P3,
github-samples,github-samples,190547141,gh-game,977034919,main,https://github.com/github-samples/gh-game.git,git@github.com:github-samples/gh-game.git,https://github.com/github-samples/gh-game,146,False,False,2026-01-29T14:43:49Z,Go,Unknown,,,False,False,False,False,Go,False,False,False,P3,
github-samples,github-samples,190547141,task-dashboard,980658795,main,https://github.com/github-samples/task-dashboard.git,git@github.com:github-samples/task-dashboard.git,https://github.com/github-samples/task-dashboard,1359,False,False,2026-02-08T21:34:52Z,JavaScript,Unknown,,,False,False,False,False,JavaScript,False,False,False,P3,
github-samples,github-samples,190547141,node-recipe-app,1026168589,main,https://github.com/github-samples/node-recipe-app.git,git@github.com:github-samples/node-recipe-app.git,https://github.com/github-samples/node-recipe-app,195,False,False,2025-12-15T14:34:35Z,JavaScript,Unknown,,,False,False,False,False,JavaScript,False,False,False,P3,
github-samples,github-samples,190547141,models-in-actions,1026241160,main,https://github.com/github-samples/models-in-actions.git,git@github.com:github-samples/models-in-actions.git,https://github.com/github-samples/models-in-actions,29,False,False,2026-02-01T12:04:32Z,Unknown,Unknown,,,False,False,False,False,Unknown,False,False,False,P3,
github-samples,github-samples,190547141,turn-based-game-mcp,1028941183,main,https://github.com/github-samples/turn-based-game-mcp.git,git@github.com:github-samples/turn-based-game-mcp.git,https://github.com/github-samples/turn-based-game-mcp,2603,False,False,2026-02-10T16:03:22Z,TypeScript,Unknown,,,False,False,False,False,TypeScript,False,False,False,P3,
github-samples,github-samples,190547141,gitfolio,1129823629,main,https://github.com/github-samples/gitfolio.git,git@github.com:github-samples/gitfolio.git,https://github.com/github-samples/gitfolio,5713,False,False,2026-03-18T15:50:32Z,TypeScript,Unknown,,,False,False,False,False,TypeScript,False,False,False,P3,
