name,clone_url,ecosystem
pets-workshop,https://github.com/github-samples/pets-workshop.git,unknown
copilot-hack,https://github.com/github-samples/copilot-hack.git,unknown
game-of-life-walkthrough,https://github.com/github-samples/game-of-life-walkthrough.git,unknown
.github,https://github.com/github-samples/.github.git,unknown
planventure,https://github.com/github-samples/planventure.git,unknown
copilot-in-a-box,https://github.com/github-samples/copilot-in-a-box.git,unknown
managing-work,https://github.com/github-samples/managing-work.git,unknown
securing-your-code,https://github.com/github-samples/securing-your-code.git,error
agents-in-sdlc,https://github.com/github-samples/agents-in-sdlc.git,error
gh-game,https://github.com/github-samples/gh-game.git,error
task-dashboard,https://github.com/github-samples/task-dashboard.git,error
node-recipe-app,https://github.com/github-samples/node-recipe-app.git,error
models-in-actions,https://github.com/github-samples/models-in-actions.git,error
turn-based-game-mcp,https://github.com/github-samples/turn-based-game-mcp.git,error
gitfolio,https://github.com/github-samples/gitfolio.git,error
